App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Android Ver
Google PDF Viewer,Productivity,4.2,226456,Varies with device,"10,000,000+",Free,0,Everyone,"October 9, 2017",Varies with device,Varies with device
DU Browser—Browse fast & fun,Communication,4.3,1133501,4.7M,"10,000,000+",Free,0,Everyone,"April 1, 2016",6.4.0.4,4.0 and up
Championat,Sports,4.3,36490,Varies with device,"1,000,000+",Free,0,Everyone,"July 25, 2018",Varies with device,Varies with device
EJ Elite Prospects League,Sports,3.3,3,12M,"1,000+",Free,0,Everyone,"February 23, 2018",5.5.4,4.1 and up
Learn Spanish - Español,Education,4.7,32346,3.2M,"1,000,000+",Free,0,Everyone,"December 18, 2017",1.3.8,4.0 and up
Google Photos,Photography,4.5,10858538,Varies with device,"1,000,000,000+",Free,0,Everyone,"August 6, 2018",Varies with device,Varies with device
Alarm Clock Free,Tools,4.0,59973,11M,"10,000,000+",Free,0,Everyone,"March 16, 2018",1.2.5,4.0 and up
EMT-B Pocket Prep,Medical,4.5,2948,16M,"50,000+",Free,0,Everyone,"July 11, 2018",4.5.2,4.4 and up
App vault,Tools,3.4,25094,Varies with device,"10,000,000+",Free,0,Everyone,"July 18, 2018",Varies with device,Varies with device
OneTouch Reveal,Medical,3.9,6266,34M,"500,000+",Free,0,Everyone,"May 22, 2018",3.5,5.1 and up
BAMMS for BM SQ,Productivity,4.0,2,10M,10+,Free,0,Everyone,"July 24, 2018",1.3.3,4.1 and up
aCalendar+ Calendar & Tasks,Productivity,4.6,26919,Varies with device,"100,000+",Paid,$5.99,Everyone,"June 25, 2018",Varies with device,Varies with device
Java Editor CR,Tools,3.8,434,18M,"50,000+",Free,0,Everyone,"March 16, 2018",1.0.209,4.0 and up
Hercules CP Mobile,Tools,1.4,20,4.1M,"1,000+",Free,0,Everyone,"July 6, 2018",2.1.5,4.3 and up
Fandom: Five Nights at Freddys,Entertainment,4.4,17945,9.5M,"1,000,000+",Free,0,Mature 17+,"June 6, 2018",2.9.8,4.4 and up
Hangouts,Communication,4.0,3419249,Varies with device,"1,000,000,000+",Free,0,Everyone,"July 21, 2018",Varies with device,Varies with device
Note Everything,Productivity,4.4,57033,Varies with device,"5,000,000+",Free,0,Everyone,"October 18, 2016",4.2.11,Varies with device
Helper for CS:GO,Tools,4.4,208,6.0M,"10,000+",Free,0,Everyone,"June 16, 2016",1.2.1,4.1 and up
GRE Prep & Practice by Magoosh,Education,4.4,3963,Varies with device,"100,000+",Free,0,Everyone,"June 6, 2018",Varies with device,Varies with device
FD VR - Virtual Photo Gallery,Entertainment,3.5,179,7.4M,"10,000+",Free,0,Everyone,"November 30, 2016",3.6.1,4.4 and up
Formula DRIFT,Sports,4.6,169,19M,"10,000+",Free,0,Everyone,"July 27, 2018",2.0.855.33,4.0.3 and up
U.S.A DV Lottery Process,Education,4.5,8,1.7M,"1,000+",Free,0,Everyone,"March 12, 2017",1.0,4.1 and up
Clarksburg AH,Medical,1.0,1,28M,50+,Free,0,Everyone,"May 1, 2017",300000.0.81,4.0.3 and up
Smart-AC Universal Remote Free,Entertainment,1.8,3270,1.8M,"500,000+",Free,0,Everyone,"August 18, 2015",1.0,2.2 and up
Calls & Text by Mo+,Communication,4.2,83239,14M,"5,000,000+",Free,0,Everyone,"April 19, 2018",3.0.4,4.0 and up
AAFP,Medical,3.8,63,24M,"10,000+",Free,0,Everyone,"June 22, 2018",2.3.1,5.0 and up
Do it (Tomorrow),Productivity,4.3,26452,4.0M,"1,000,000+",Free,0,Everyone,"November 3, 2014",2.3.5,2.1 and up
Samsung Notes,Productivity,3.9,15368,Varies with device,"100,000,000+",Free,0,Everyone,"January 22, 2018",Varies with device,Varies with device
Commando Adventure Assassin,Action,4.0,51067,48M,"5,000,000+",Free,0,Teen,"May 29, 2018",1.18,4.1 and up
Thistletown CI,Productivity,1.0,1,6.6M,100+,Free,0,Everyone,"March 15, 2018",41.9,4.1 and up
All Mental disorders,Medical,4.5,453,11M,"100,000+",Free,0,Everyone,"July 7, 2017",1.1,4.0.3 and up
Smart TV Remote,Tools,3.5,81747,9.1M,"10,000,000+",Free,0,Everyone,"May 26, 2018",3.8.2,4.1 and up
Dexcom G6,Medical,3.0,45,20M,"5,000+",Free,0,Everyone,"July 16, 2018",1.2.3.2,6.0 and up
CG FM,Entertainment,5.0,2,6.6M,500+,Free,0,Everyone,"January 31, 2018",1.0.9,4.1 and up
FeaturePoints: Free Gift Cards,Entertainment,3.9,121321,46M,"5,000,000+",Free,0,Everyone,"October 22, 2016",8.7,4.0.3 and up
Bacterial Vaginosis Symptoms,Medical,4.1,698,2.4M,"100,000+",Free,0,Everyone 10+,"February 3, 2015",1.1,3.0 and up
PIP Selfie Camera Photo Editor,Photography,4.4,156322,Varies with device,"10,000,000+",Free,0,Everyone,"February 1, 2018",Varies with device,Varies with device
To,Medical,4.2,22,15M,"10,000+",Free,0,Everyone,"May 30, 2018",Varies with device,Varies with device
"Movies by Flixster, with Rotten Tomatoes",Entertainment,4.5,653008,16M,"10,000,000+",Free,0,Everyone,"June 20, 2018",9.1.4,4.4 and up
DU Browser Mini(Small&Fast),Tools,4.2,20941,2.0M,"1,000,000+",Free,0,Everyone,"December 23, 2016",1.12.23,4.0 and up
Arogyam EH,Medical,3.6,18,3.5M,"1,000+",Free,0,Everyone,"May 12, 2018",1.9,4.0.3 and up
Remote EX for NISSAN,Communication,2.3,223,1.0M,"5,000+",Paid,$1.49,Everyone,"July 26, 2014",1.3,3.0 and up
DMR BrandMeister Tool,Communication,3.3,78,2.5M,"10,000+",Free,0,Everyone,"March 31, 2018",4.5,6.0 and up
Lionel Messi Wallpapers,Sports,4.7,950,18M,"100,000+",Free,0,Everyone,"July 17, 2018",2.6,4.1 and up
BF Movies Fun,Entertainment,3.8,63,3.7M,"10,000+",Free,0,Teen,"April 7, 2018",1.0,2.3.3 and up
DK Browser,Communication,4.0,1,2.4M,10+,Free,0,Everyone,"April 25, 2017",1.0,4.2 and up
Tap N Pay,Productivity,4.4,253,8.2M,"10,000+",Free,0,Everyone,"July 31, 2018",0.1.22,4.1 and up
"busuu: Learn Languages - Spanish, English & More",Education,4.3,206532,21M,"10,000,000+",Free,0,Everyone 10+,"August 1, 2018",13.9.0.161,5.0 and up
Il Coccodrillo Come Fa,Entertainment,3.4,17,246k,"1,000+",Free,0,Everyone,"November 21, 2014",1.0,4.0 and up
WhatsApp Messenger,Communication,4.4,69119316,Varies with device,"1,000,000,000+",Free,0,Everyone,"August 3, 2018",Varies with device,Varies with device
K PLUS,Finance,4.4,124424,Varies with device,"10,000,000+",Free,0,Everyone,"June 26, 2018",4.6.0,4.2 and up
Wifi Inspector,Tools,4.3,63712,Varies with device,"5,000,000+",Free,0,Everyone,"May 12, 2016",Varies with device,2.3 and up
O-Level Past Papers & Solution (up to 2017),Education,3.8,589,28M,"100,000+",Free,0,Everyone,"June 11, 2018",8.3.2,4.0.3 and up
CNBC: Breaking Business News & Live Market Data,Finance,4.2,24666,Varies with device,"1,000,000+",Free,0,Everyone,"July 13, 2018",Varies with device,Varies with device
All Language Translator,Tools,4.0,29944,2.1M,"5,000,000+",Free,0,Everyone,"October 3, 2015",1.6,2.3 and up
Citi Mobile®,Finance,4.0,78306,46M,"5,000,000+",Free,0,Everyone,"July 31, 2018",9.9.0,4.4 and up
Dz Dinars Numbers to letters,Productivity,4.7,2807,9.8M,"100,000+",Free,0,Everyone,"December 15, 2016",0.74 11.12.2016,4.0.3 and up
Antenna Tool,Tools,4.2,522,2.9M,"50,000+",Free,0,Everyone,"October 26, 2017",2.2 Free,4.0.3 and up
BS Meter (Ad Supported),Entertainment,3.9,14,592k,"1,000+",Free,0,Teen,"August 14, 2013",2.0,2.2 and up
Big Hunter,Action,4.3,245455,84M,"10,000,000+",Free,0,Everyone 10+,"May 31, 2018",2.8.6,4.0 and up
BTNotification,Tools,3.9,15665,373k,"5,000,000+",Free,0,Everyone,"July 8, 2016",1.1.43,4.0 and up
Curriculum Vitae - Resume CV,Productivity,2.6,80,2.2M,"10,000+",Free,0,Everyone,"May 11, 2017",2.129.12,4.1 and up
Wifi Analyzer,Tools,4.4,335115,1.8M,"10,000,000+",Free,0,Everyone,"April 7, 2018",3.11.2,6.0 and up
GetThemAll Any File Downloader,Tools,4.2,91186,6.3M,"5,000,000+",Free,0,Everyone,"May 22, 2018",2.0.9,4.0 and up
R File Manager,Tools,4.8,17,6.7M,50+,Free,0,Everyone,"May 5, 2018",v2,4.4 and up
Koch Morse Trainer Pro,Communication,4.6,94,1.1M,"1,000+",Paid,$2.49,Everyone,"February 14, 2015",2.1.1,2.2 and up
Firefox Focus: The privacy browser,Communication,4.4,36880,4.0M,"1,000,000+",Free,0,Everyone,"July 6, 2018",5.2,5.0 and up
2-Player Co-op Zombie Shoot,Action,4.2,33,13M,"1,000+",Free,0,Teen,"July 1, 2018",1.0.13,2.3 and up
I am Rich Plus,Entertainment,4.0,856,8.7M,"10,000+",Paid,$399.99,Everyone,"May 19, 2018",3.0,4.4 and up
MbH BP,Medical,3.7,9,23M,"1,000+",Free,0,Everyone,"October 3, 2017",1.1.3,2.3.3 and up
MLB At Bat,Sports,4.2,82857,Varies with device,"5,000,000+",Free,0,Everyone,"July 30, 2018",Varies with device,Varies with device
CB Frequencies FREE!,Tools,3.1,364,2.3M,"100,000+",Free,0,Everyone,"March 2, 2018",2,4.0.3 and up
FD VR Theater - for Youtube VR,Entertainment,4.1,4585,9.1M,"1,000,000+",Free,0,Everyone,"November 30, 2016",3.6.1,4.4 and up
3G to 4G Converter - Simulator,Tools,4.2,268,2.4M,"10,000+",Free,0,Everyone,"February 21, 2018",3.0.0,4.1 and up
Trinomial Factoring Wizard,Tools,4.0,22,82k,"1,000+",Paid,$0.99,Everyone,"October 10, 2014",2.4,2.3 and up
Dude Perfect 2,Action,4.5,401648,70M,"10,000,000+",Free,0,Everyone,"April 12, 2017",1.6.1,4.0.3 and up
Toilet Ek Prem Katha Songs Lyrics in Hindi,Entertainment,4.7,3,2.0M,"1,000+",Free,0,Everyone,"August 10, 2017",1.0,4.1 and up
DM airdisk Pro,Tools,3.2,11,36M,"1,000+",Free,0,Everyone,"September 20, 2017",2.4.0,4.0.3 and up
CB News,Education,5.0,7,20M,50+,Free,0,Everyone,"September 10, 2016",1.2.0,4.1 and up
F-Stop Gallery,Photography,4.2,12726,15M,"1,000,000+",Free,0,Everyone,"July 21, 2018",4.9.18,4.1 and up
HD Camera Ultra,Photography,4.3,462152,1.5M,"10,000,000+",Free,0,Everyone,"October 17, 2015",2.3.1,Varies with device
MediaFire,Productivity,4.1,71432,3.8M,"5,000,000+",Free,0,Everyone,"November 1, 2017",4.2.2,4.1 and up
Wells Fargo Daily Change,Finance,4.2,283,5.0M,"100,000+",Free,0,Everyone,"April 26, 2018",2.5.0.26,5.0 and up
File Manager -- Take Command of Your Files Easily,Tools,4.2,127223,7.6M,"10,000,000+",Free,0,Everyone,"August 3, 2018",v7.0.7.1.0625.1_06_0629,5.0 and up
CCleaner,Tools,4.4,885187,22M,"50,000,000+",Free,0,Everyone,"July 19, 2018",4.7.0,4.1 and up
Speed Reading,Education,4.6,10611,11M,"500,000+",Free,0,Everyone,"May 27, 2018",2.3.7,4.0 and up
"Learn languages, grammar & vocabulary with Memrise",Education,4.7,1107903,Varies with device,"10,000,000+",Free,0,Everyone,"August 2, 2018",Varies with device,Varies with device
EP Spotter,Entertainment,3.4,9,28M,500+,Free,0,Everyone,"September 28, 2016",314007,4.3 and up
E*TRADE Mobile,Finance,3.9,10657,58M,"1,000,000+",Free,0,Everyone,"August 2, 2018",6.8.2,4.4 and up
CW Beacon for Ham Radio,Communication,4.8,10,516k,100+,Paid,$1.49,Everyone,"January 22, 2015",KM,1.6 and up
Lippincott Nursing Advisor,Medical,3.8,343,26M,"50,000+",Free,0,Everyone,"May 1, 2018",3.3.1,4.1 and up
DEAD TARGET: FPS Zombie Apocalypse Survival Games,Action,4.5,1468638,Varies with device,"50,000,000+",Free,0,Mature 17+,"July 23, 2018",Varies with device,Varies with device
Bullet Force,Action,4.5,634159,58M,"10,000,000+",Free,0,Teen,"June 21, 2018",1.40,4.2 and up
DU Security,Tools,4.4,4847,3.2M,"100,000+",Free,0,Everyone,"June 29, 2016",3.0.0.2071,4.0 and up
Be the Manager 2018 - Football Strategy,Sports,4.3,7557,7.4M,"100,000+",Free,0,Everyone,"March 12, 2018",2.2.1,4.2 and up
MEGA MAN MOBILE,Action,4.0,267,40M,"10,000+",Paid,$1.99,Everyone,"February 17, 2017",1.02.01,4.0 and up
BQ Scanner,Tools,3.0,2,2.7M,100+,Free,0,Everyone,"October 10, 2017",1.0.1,4.4 and up
Standard Bank / Stanbic Bank,Finance,3.6,15247,28M,"1,000,000+",Free,0,Everyone,"July 13, 2018",3.0.5,4.0.3 and up
CB Register,Entertainment,5.0,1,5.6M,10+,Free,0,Everyone,"June 27, 2018",1.0,4.1 and up
Google Chrome: Fast & Secure,Communication,4.3,9642995,Varies with device,"1,000,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
Dropbox,Productivity,4.4,1860844,61M,"500,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
Night Camera Blur Effect,Photography,3.6,100,2.5M,"10,000+",Free,0,Everyone,"August 5, 2018",4.2,4.2 and up
Beauty Makeup Snappy Collage Photo Editor - Lidow,Photography,4.5,420973,Varies with device,"10,000,000+",Free,0,Everyone,"August 2, 2018",Varies with device,Varies with device
Lightning Web Browser,Communication,4.1,12578,2.3M,"500,000+",Free,0,Everyone,"July 10, 2017",4.5.1,4.0 and up
"Phogy, 3D Camera",Photography,4.0,35724,9.9M,"1,000,000+",Free,0,Everyone,"February 11, 2015",1.40,4.0 and up
Avast Wi-Fi Finder,Productivity,4.3,37277,13M,"1,000,000+",Free,0,Everyone,"February 26, 2018",2.3.1,4.0.3 and up
Mad Skills BMX 2,Action,4.5,29940,80M,"1,000,000+",Free,0,Everyone,"July 26, 2018",1.1.4,4.1 and up
Yahoo Mail – Stay Organized,Communication,4.3,4188142,16M,"100,000,000+",Free,0,Everyone,"July 18, 2018",5.29.3,4.4 and up
Anthem Anywhere,Medical,2.7,2657,24M,"500,000+",Free,0,Everyone,"July 27, 2018",8.0.226,4.4 and up
"FOX Sports: Live Streaming, Scores & News",Sports,4.0,28895,82M,"5,000,000+",Free,0,Teen,"August 2, 2018",4.4.15,5.0 and up
Learners Test Free: AU Driver Knowledge Test (DKT),Education,3.9,623,8.5M,"100,000+",Free,0,Everyone,"March 26, 2018",3.5,4.1 and up
CF-Bench Pro,Tools,4.6,159,29k,"1,000+",Paid,$1.49,Everyone,"June 23, 2011",1.1,1.6 and up
Axxess AX-DSP,Tools,3.5,17,7.4M,"5,000+",Free,0,Everyone,"June 4, 2018",3_1,4.4 and up
KakaoTalk: Free Calls & Text,Communication,4.3,2546549,Varies with device,"100,000,000+",Free,0,Everyone,"August 3, 2018",Varies with device,Varies with device
J-Novel Club,Entertainment,3.3,162,9.0M,"10,000+",Free,0,Teen,"October 22, 2017",1.2,4.1 and up
Whoscall - Caller ID & Block,Communication,4.4,552635,29M,"10,000,000+",Free,0,Everyone,"August 1, 2018",6.19.1,4.1 and up
EU Mobile Money Partenaire Commercial,Finance,4.3,70,3.9M,"10,000+",Free,0,Everyone,"May 14, 2018",1.3,4.0.3 and up
OmniMedix Medical Calculator,Medical,4.7,25,1.2M,"1,000+",Paid,$4.99,Everyone,"June 11, 2016",3.1.6,3.0 and up
AI Draw | Art Filter for Selfie,Photography,3.0,20,4.3M,"1,000+",Paid,$2.99,Everyone,"June 18, 2018",1.4.7,5.0 and up
IKO,Finance,4.7,167168,20M,"1,000,000+",Free,0,Everyone,"July 4, 2018",3.115.27,4.1 and up
Blood Pressure Monitor,Medical,4.3,17,6.0M,"10,000+",Free,0,Everyone,"February 25, 2017",1.0.1,4.4 and up
Photo Editor Selfie Camera Filter & Mirror Image,Photography,4.3,527247,Varies with device,"50,000,000+",Free,0,Everyone,"February 1, 2018",1.6.1,Varies with device
HD Camera Pro for Android,Photography,4.1,49211,1.9M,"1,000,000+",Free,0,Everyone,"January 19, 2017",1.5.5,2.1 and up
Chenoweth AH,Medical,5.0,1,27M,100+,Free,0,Everyone,"April 3, 2017",300000.0.78,4.0.3 and up
Helix Jump,Action,4.2,1497361,33M,"100,000,000+",Free,0,Everyone,"April 9, 2018",1.0.6,4.1 and up
2017 EMRA Antibiotic Guide,Medical,4.4,12,3.8M,"1,000+",Paid,$16.99,Everyone,"January 27, 2017",1.0.5,4.0.3 and up
EF English Live Business Tablet,Education,3.3,279,14M,"10,000+",Free,0,Everyone,"December 25, 2017",1.6.6,4.4 and up
Firefox Browser fast & private,Communication,4.4,3075118,Varies with device,"100,000,000+",Free,0,Everyone,"July 10, 2018",Varies with device,Varies with device
Preferences Manager and SQLite DB Viewer,Tools,3.5,13,3.0M,"1,000+",Free,0,Everyone,"July 18, 2017",1.01,4.0 and up
Download All Files,Tools,3.8,120494,2.3M,"10,000,000+",Free,0,Everyone,"June 13, 2018",2.0.7,4.1 and up
Be My Princess,Entertainment,4.2,3103,8.8M,"100,000+",Free,0,Teen,"September 19, 2017",6.5,2.2 and up
Score! Hero,Sports,4.6,5419676,96M,"100,000,000+",Free,0,Everyone,"June 13, 2018",1.751,4.4 and up
Free coupons and vouchers,Finance,5.0,4,5.9M,100+,Free,0,Everyone,"July 28, 2018",1.5,4.4 and up
Access Point Browser,Tools,4.2,25,2.5M,"1,000+",Free,0,Everyone,"September 22, 2017",3.11,4.3 and up
CBS Sports Fantasy,Sports,4.0,43611,27M,"1,000,000+",Free,0,Everyone,"June 27, 2018",3.17.0+3,5.0 and up
Moven - Smart Finances,Finance,3.8,861,17M,"100,000+",Free,0,Everyone,"May 29, 2018",3.3.9,4.4 and up
LightMeter (noAds),Photography,4.6,617,12M,"10,000+",Paid,$1.99,Everyone,"November 22, 2016",1.5.10.NA,3.2 and up
Download Manager For Android Free,Tools,4.0,593,3.3M,"100,000+",Free,0,Everyone,"April 12, 2018",12.04.18,3.0 and up
Secret Codes For Android,Tools,3.6,6060,592k,"500,000+",Free,0,Everyone,"February 4, 2016",2.0,2.1 and up
DYPSOET,Education,5.0,8,7.4M,50+,Free,0,Everyone,"August 7, 2018",1.0.2,4.1 and up
DU CS Lectures - Learn to Code for Free,Education,4.8,16,7.8M,100+,Free,0,Everyone,"July 29, 2018",4.0,4.1 and up
Yandex.Disk,Productivity,4.4,115072,Varies with device,"5,000,000+",Free,0,Everyone,"July 31, 2018",Varies with device,Varies with device
7 Weeks - Habit & Goal Tracker,Productivity,4.4,6011,4.3M,"500,000+",Free,0,Everyone,"December 19, 2015",3.2.1,4.1 and up
Powershop AU,Tools,4.0,498,11M,"10,000+",Free,0,Everyone,"July 12, 2018",1.35.1,4.0.3 and up
Advanced Download Manager Holo,Tools,4.4,16192,1.6M,"1,000,000+",Free,0,Everyone,"July 13, 2016",4.1.9o,4.0 and up
German Vocabulary Trainer,Education,3.3,1218,1.0M,"100,000+",Free,0,Everyone,"August 24, 2012",1.0,2.1 and up
TorrDroid - Torrent Downloader,Tools,4.7,59632,10M,"1,000,000+",Free,0,Everyone,"April 3, 2018",1.5.2,4.1 and up
Soo Co-op Mobile Banking,Finance,4.5,159,14M,"1,000+",Free,0,Everyone,"September 12, 2017",4.2.87,4.0.3 and up
CX-17WIFI,Entertainment,4.3,49,6.6M,"10,000+",Free,0,Everyone,"March 21, 2018",2.3,4.3 and up
No Crop & Square for Instagram,Photography,4.6,819774,25M,"10,000,000+",Free,0,Everyone,"June 26, 2018",4.2.3,4.0 and up
Let's Learn Alif Ba Ta,Education,4.6,32,60M,"10,000+",Free,0,Everyone,"November 29, 2017",6,4.0.3 and up
Old: CL-150,Education,3.8,120,24M,"10,000+",Free,0,Everyone,"May 21, 2018",1.1.7,4.0.3 and up
Dude Perfect 2,Action,4.5,401425,70M,"10,000,000+",Free,0,Everyone,"April 12, 2017",1.6.1,4.0.3 and up
Gun Strike Shoot,Action,4.1,94761,17M,"10,000,000+",Free,0,Teen,"February 21, 2017",1.1.4,2.3 and up
Acorns - Invest Spare Change,Finance,4.3,45962,Varies with device,"1,000,000+",Free,0,Everyone,"July 31, 2018",Varies with device,Varies with device
SB · FN 1870 Mobile Banking,Finance,2.9,139,3.3M,"10,000+",Free,0,Everyone,"June 19, 2017",3.0.5,4.0 and up
CM Secure Browser (Authorized),Tools,4.2,1147,2.7M,"100,000+",Free,0,Everyone,"October 2, 2017",1.1.6,4.0 and up
CL-App,Medical,4.7,6,5.2M,100+,Free,0,Everyone,"February 17, 2017",1.1,4.0 and up
EY Forensics,Finance,4.9,7,3.4M,"1,000+",Free,0,Everyone,"June 17, 2016",1.0.1,4.0.3 and up
CB Hair Png - New Hair Png For CB Editing,Photography,4.6,26,7.2M,500+,Free,0,Everyone,"July 29, 2018",2,4.0 and up
Snapseed,Photography,4.5,823109,Varies with device,"50,000,000+",Free,0,Everyone,"June 29, 2018",2.19.0.201907232,4.4 and up
Railroad Radio Vancouver BC,Entertainment,5.0,4,1.7M,100+,Free,0,Teen,"June 28, 2015",1,2.2 and up
Helix Jump,Action,4.2,1498648,33M,"100,000,000+",Free,0,Everyone,"April 9, 2018",1.0.6,4.1 and up
LinkedIn Learning: Online Courses to Learn Skills,Education,4.6,7973,18M,"1,000,000+",Free,0,Everyone,"July 27, 2018",0.29.74,4.4 and up
Educationboard Results BD,Education,4.0,983,7.2M,"100,000+",Free,0,Everyone,"June 12, 2018",1.0,4.0 and up
Vote 4 DC,Tools,4.1,46,6.1M,"1,000+",Free,0,Everyone,"September 21, 2016",4.0.6,4.0.3 and up
Survival Run with Bear Grylls,Action,4.2,128579,Varies with device,"5,000,000+",Free,0,Everyone,"May 6, 2018",Varies with device,Varies with device
Basket Manager 2017 Pro,Sports,4.7,163,4.6M,"1,000+",Paid,$0.99,Everyone,"October 6, 2017",3.9,4.1 and up
Quizlet: Learn Languages & Vocab with Flashcards,Education,4.6,211856,Varies with device,"10,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
AK Phone,Communication,4.4,9,4.2M,"5,000+",Free,0,Everyone,"May 29, 2017",3.8.8,2.2 and up
CV Examples 2018,Education,4.5,625,26M,"100,000+",Free,0,Everyone,"July 30, 2018",4.0,4.0.3 and up
Premier League - Official App,Sports,4.3,63580,24M,"5,000,000+",Free,0,Everyone,"July 20, 2018",1.1.5,4.1 and up
Free Wi-fi HotspoT,Communication,4.1,382,2.3M,"50,000+",Free,0,Everyone,"July 20, 2018",2.5,4.0 and up
ESPN,Sports,4.2,521140,Varies with device,"10,000,000+",Free,0,Everyone 10+,"July 19, 2018",Varies with device,5.0 and up
Blurfoto : Auto blur photo background & DSLR focus,Photography,4.3,2215,12M,"500,000+",Free,0,Everyone,"July 27, 2018",1.12,4.3 and up
LineStar For DK,Sports,4.3,1387,14M,"50,000+",Free,0,Everyone,"June 6, 2018",3.0.3,4.0.3 and up
AP Flashcards,Education,3.7,88,41M,"10,000+",Free,0,Everyone,"August 30, 2015",1.3.14,3.1 and up
EMI Calculator | FD Calculator | RD calculator,Finance,4.6,106,4.4M,"10,000+",Free,0,Everyone,"March 19, 2018",5.3,4.0.3 and up
CB Radio Chat - for friends!,Communication,4.0,17998,7.9M,"1,000,000+",Free,0,Teen,"March 27, 2018",2.6.3,4.0 and up
ExDialer PRO Key,Communication,4.5,5474,17k,"100,000+",Paid,$3.99,Everyone,"January 15, 2014",81,2.1 and up
Barclays US for Android,Finance,4.1,6998,24M,"1,000,000+",Free,0,Everyone,"August 1, 2018",6.29.37589,5.0 and up
UC Browser Mini -Tiny Fast Private & Secure,Communication,4.4,3648765,3.3M,"100,000,000+",Free,0,Teen,"July 18, 2018",11.4.0,4.0 and up
IBM Micromedex Drug Info,Medical,3.8,206,9.5M,"10,000+",Paid,$2.99,Everyone,"April 25, 2018",1.17.0,4.0 and up
Opera Mini browser beta,Communication,4.4,401530,Varies with device,"10,000,000+",Free,0,Everyone,"August 3, 2018",Varies with device,Varies with device
AC Remote for Midea - NOW FREE,Tools,4.0,448,26M,"100,000+",Free,0,Everyone,"July 30, 2018",6.1.7,4.2 and up
X Home Bar - Home Bar Gesture Pro,Tools,4.0,88,2.0M,"10,000+",Paid,$1.99,Everyone,"July 2, 2018",1.5,4.3 and up
EZ Utilities Extension,Tools,3.9,33,473k,"5,000+",Free,0,Everyone,"May 5, 2016",9.0,6.0 and up
CK FFXIV Companion,Entertainment,4.3,1364,5.2M,"100,000+",Free,0,Everyone,"July 12, 2018",4.3.5,2.3 and up
bm Wallet,Finance,3.5,196,27M,"10,000+",Free,0,Everyone,"August 20, 2017",1.8,4.1 and up
WIFI WPS WPA TESTER,Tools,4.3,352097,6.7M,"10,000,000+",Free,0,Everyone,"June 12, 2018",3.8.5,4.0 and up
"Cymera Camera- Photo Editor, Filter,Collage,Layout",Photography,4.4,2418135,Varies with device,"100,000,000+",Free,0,Everyone,"July 12, 2018",Varies with device,Varies with device
CU of Colorado Mobile Banking,Finance,4.0,347,25M,"10,000+",Free,0,Everyone,"February 6, 2018",4.11.100,4.1 and up
BeautyPlus - Easy Photo Editor & Selfie Camera,Photography,4.4,3158151,53M,"100,000,000+",Free,0,Everyone,"July 31, 2018",6.9.031,4.1 and up
FC Bayern Munich,Sports,4.6,37140,71M,"1,000,000+",Free,0,Everyone,"August 1, 2018",1.3.11,4.1 and up
Cricbuzz - Live Cricket Scores & News,Sports,4.5,838738,Varies with device,"50,000,000+",Free,0,Everyone,"May 18, 2018",Varies with device,Varies with device
Fon WiFi App – WiFi Connect,Tools,4.1,222,16M,"50,000+",Free,0,Everyone,"July 26, 2018",2.2.4,4.4 and up
FK Željezničar Izzy,Entertainment,4.9,119,17M,"1,000+",Free,0,Everyone,"November 18, 2016",1.0,4.4 and up
Last Day on Earth: Survival,Action,4.5,2311785,87M,"10,000,000+",Free,0,Teen,"August 1, 2018",1.9.3,4.1 and up
EZ Inspections,Productivity,2.8,160,7.6M,"10,000+",Free,0,Everyone,"July 27, 2018",4.5.24,4.2 and up
Add-On: bq (a),Productivity,3.6,26,1.2M,"5,000+",Free,0,Everyone,"May 19, 2015",10.0.3086,4.0 and up
Credit Karma,Finance,4.7,706618,Varies with device,"10,000,000+",Free,0,Everyone,"July 31, 2018",Varies with device,Varies with device
Builder (by Engineer.ai),Productivity,3.6,8,3.2M,100+,Free,0,Everyone,"November 4, 2017",1.2-Release,4.1 and up
Google Play Games,Entertainment,4.3,7165362,Varies with device,"1,000,000,000+",Free,0,Teen,"July 16, 2018",Varies with device,Varies with device
Kids Photo Frames,Photography,4.6,15700,10M,"1,000,000+",Free,0,Everyone,"July 7, 2018",2.3,4.0.3 and up
Analog and Digital Clock AW-7,Tools,4.0,202,2.9M,"50,000+",Free,0,Everyone,"March 15, 2018",2.0,4.3 and up
Puffin Web Browser,Communication,4.3,541661,Varies with device,"10,000,000+",Free,0,Everyone,"July 9, 2018",7.5.3.20547,4.1 and up
DP Photo Editor,Photography,4.1,88,7.7M,"10,000+",Free,0,Everyone,"September 29, 2017",2.5,4.1 and up
Google Chrome: Fast & Secure,Communication,4.3,9643041,Varies with device,"1,000,000,000+",Free,0,Everyone,"August 1, 2018",Varies with device,Varies with device
Finger Scanner Gestures,Tools,4.2,2531,3.3M,"100,000+",Free,0,Everyone,"July 30, 2017",1.2.4,6.0 and up
Wells Fargo Mobile,Finance,4.4,250719,37M,"10,000,000+",Free,0,Everyone,"July 31, 2018",6.8.0.109,5.0 and up
VeinSeek,Medical,2.5,79,Varies with device,"1,000+",Paid,$3.99,Everyone,"December 6, 2017",Varies with device,Varies with device
